&c	See
mortification	mollification
Most	Host
most	moat
most	roost
motory	motors
Mr	Sir
Mr.	Air.
Mr.	Mr
Mr.	Mr,
Mrs.	Mrs
Mrs.	Mrs,
much	ranch
mules	nudes
murder	minder
must	mast
mute	route
muttered	mattered
my	lily
my	nay
my	ray
natives	Datives
Near	Hear
near	neat
nearing	Hearing
Nearing	Wearing
neck	next
need	used
New	Hew
NEW	MEW
next	nest
next	next
nights	frights
no	do
No	So
nose	rose
not	act
not	cot
not	Dot
not	nut
not	rot
not	sot
Notation	Negation
noted	rioted
noting	hurting
notion	nation
novel	navel
now	mow
nuns	nans
o	0
Oats	Outs
ob	oh
obligato	obligate
occulations	occupations
Occultation	Occupation
of	cf
of	o
OF	OK
OF	OP
of	ox
of face	efface
of ten	often
off	oft
off	on
offer	oiler
offer	otter
oh	ob
on	an
on	oft
on	oh
On	Or,
ON	OX
one	cue
one	ore
or	ox
order	older
organization	organisation
ostentatious	ostentations
other	ether
other	oilier
our	bur
our	car
our	cur
our	out
ours	curs
out	cut
out	oat
out	put
outside	outbids
oval	oral
over	oven
oxalate	oxidate
Pack	Tack
PAGE	FACE
PAGE	PACK
page	pare
PAGE	TAG!
Paris	Pans
part	pact
parties	parries
PARTS	PARIS
party	patty
passed	parsed
past	Pact
past	part
pasted	patted
Pasting	Fasting
patters	matters
paused	passed
Pen	Pea
person	parson
Pile	File
Pill	Fill
pin	pm
plain	plum
plane	piano
planked	linked
pleasant	pheasant
pm	pin
poet	post
poets	posts
Poison	Person
politics	polities
Pool	Fool
poor	poof
Poor	Pool
Portugal	Partial
possible	passible
powder	ponder
pray	fray
preachers	preached
preface	pie-face
President	Prudent
PRICE	PRICK
PRINTED	FEINTED
Printed	Primed
property	properly
prunes	primes
Publishing	Punishing
Put	Pat
put	pot
qualities	qualifies
quarter	quartet
quarters	quartet
Rack	Back
rain	ram
rain	ruin
ram	raw
Ranged	Banged
Rare	Hare
Rate	Bate
Rather	Bather
rather	ratter
rationalist	nationalist
raw	rain
raw	ray
Re	Be
reached	reacted
reachings	Teachings
reacted	reached
read	react
read	road
Reader	Header
reader	leader
reader	read or
Readily	Beadily
Reading	Beading
Rear	Bear
rebellious	rebellions
recked	reeked
Red	Bed
red	rod
refit	rent
reflection	inflection
Reg.	Beg.
relapse	relate
remained	retrained
REMOVED	BEHOVED
rended	vended
Rest	Best
resting	nesting
retreating	recreating
returned	retained
Rifle	Kills
Right	Bight
Right	Eight
right	fight
right	fright
right	tight
rightness	tightness
Rise	Else
rise	use
rises	uses
rising	using
river	liver
river	rivet
Road	Bond
road	rend
roar	rear
Roast	Boast
robed	rolled
Robert	Hubert
rock	rook
rocks	rooks
rode	rods
Rome	Borne
Rome	Home
roof	root
Roofing	Hoofing
Rook	Book
room	mom
Root	Boot
Rose	Hose
rote	note
Round	Bound
rowing	towing
royal	loyal
Royale	Royals
rub	nib
rubber	rub her
ruin	rum
ruined	mined
ruined	rained
ruins	rums
Rule	Ride
rule	rub
RUMP	BUMP
run	inn
run	ran
run	rim
run	rum
Runic	Annie
Runs	Buns
runs	nuns
runs	rims
rush	nigh
rustle	rustic
sack	Back
sackcloth	Backcloth
SACRED	SACKED
said	paid
said	wild
sail	salt
sake	take
salts	waits
sam	saw
same	game
same	some
sang	song
save	saw
saw	sam
say	Bay
say	day
says	Bays
says	gays
says	pays
scar	sear
scars	soars
Sci.	Set.
scouting	scouring
screens	sevens
sealed	scaled
seat	Beat
seat	scat
secured	seemed
see	are
see	gee
see	sea
see	sec
seen	men
self	sell
sender	gender
sent	seat
served	saved
set	get
set	net
shall	shaft
shall	shrill
shall	skull
shalt	shall
Shame	Slime
shaped	shaded
she	site
sherry	cherry
shew	skew
ship	skip
shore	short
shore	shove
shores	shorts
short	abort
short	snort
show	allow
shuffle	muffle
side	Bide
Signor	Signer
sin	she
sin	sill
singing	sinking
Sir	Sin
SIR	SIX
skie	side
skin	akin
skin	skip
Slavs	Slays
sleep	sloop
slipped	supped
slippers	dippers
slopes	elopes
small	email
snow	show
so	go
so	to
social	axial
some	borne
some	come
some	sonic
son	eon
sou	son
sought	Bought
soul	son!
soul	spill
sound	pound
soup	soap
soup	sour
space	spade
Spain	Spam
speak	sneak
spite	suite
stairs	stabs
stances	seances
STARTS	STASIS
starving	starring
state	slate
state	stale
stated	slated
status	stains
steading	stealing
stein	stem
stem	stein
step	stop
steps	stops
stewed	stowed
still	stall
still	stilt
stole	stoic
stores	stops
stories	stones
straightest	slightest
strain	straw
straw	strain
struggle	straggle
substantials	substantiate
such	each
such	much
such	suck
sudden	sadden
suffer	surfer
suits	suite
summer	slimmer
sunning	gunning
superstitious	superstitions
supple	stipple
suspicons	suspicious
swarming	swanning
swear	smear
swift	swill
swore	more
syllabic	syllable
tail	tall
taken	token
takes	lakes
taking	faking
talent	latent
tall	fall
tall	tail
tame	lame
tameness	lameness
tarries	tames
tell	toll
ten	fen
TEN	TEX
term	terry
terry	term
than	man
than	titan
that	thai
the	fie
the	lie
the	me
The	Thai
the	this
the	tho
the	thy
the	tie
the	tile
The	Tin
the	tine
the	tint
the	tire
The	Toe
THE	TUB
the	TV
their	theft
their	then
them	diem
them	then
them	thorn
then	men
then	than
there	mere
these	those
thing	tiling
think	dunk
this	thin
This	Tide
this	tin's
this	tins
threw	throw
through	thrown
thrush	thrash
tic	tie
tightness	rightness
till	fill
till	tilt
time	lime
time	tinge
time	tune
time,	timer
times	rimes
times	tunes
timings	tintings
tin	try
tiny	day
title	tide
to me	tome
tom	tory
tone	lone
too	ton
too!	tool
top	ton
Torn	Tom
torn	tom
torn	tory
torn	turn
tory	tom
towards	cowards
train	tram
traits	trails
tread	trod
tresses	presses
trick	tuck
tried	tied
true	time
try	fry
try	tin
trying	frying
TUB	THE
turn	tum
Twas	Twos
type	typo
um	urn
un-polished	tin-polished
under	utter
under	wider
understand	wider stand
ungifted	unsifted
unpressed	impressed
up	lip
up	rip
up	tip
upper	tipper
urged	surged
us	its
us	tis
use	rise
used	raised
uses	rises
using	rising
vain	yarn
veiled	yelled
vessels	weasels
vitrifiable	verifiable
von	you
w	in
w	m
waits	salts
wake	make
wales	males
walked	wafted
wall	mail
wall	wail
walls	wails
Walt	Halt
Walter	Waiter
wander	wonder
want	wont
war	wax
warm	marry
warn	main
warn	mary
warned	married
was	vas
was	wag
was	wan
watch	match
watched	matched
watched	patched
watching	matching
waters	wafers
waving	waring
way	may
We	He
we	ice
we	inc
we	me
we	toe
we	ye
we'll	well
wearied	weaned
well	wall
well	weir
well	welt
well	wen
went	merit
went	vent
were	mere
were	wore
West	Best
wet	met
When	men
where	whore
which	winch
white	while
who	ho
who	wild
whoso	whose
why	wiry
wild	mild
will	Hill
will	mill
will	trill
will	wall
will	wilt
wills	trills
wily	with
win	mm
winds	minds
wine	mine
wines	mines
with	will
woman	Women
woman	worn an
WOMEN	WOMBS
women	worsen
wood	mood
word	won!
worked	forked
works	ivories
worth	worm
would	worm
wound	mound
wounded	mounded
writing	waiting
y	v
Yale	Yak
yarn	yam
Yea	Tea
YEAR	TEAR
year	your
Years	Tears
yet	jet
yet	vet
yolk	your
York	Fork
you	von
you	yo
you	yon
young	voting
Your	Tour
